plnr,studieprogram,campus,år,termin
10859,BSYK,Stord,2022,Høst
10962,MAPHER,Bergen,2024,Høst
12369,ENKELTEMNE,Bergen,2024,Høst
13150,PHDE,Bergen,2022,Vår
13150,PHDH,Bergen,2022,Vår
13569,KJE,Bergen,2024,Høst
14077,MAS-BRANN,Haugesund,2021,Høst
14167,HSPED,Bergen,2020,Høst
15030,HSPED,Stord,2024,Høst
15126,EIE-MA,Bergen,2024,Høst
15253,MDIP,Bergen,2023,Vår
15825,B-ANSVAR,Bergen,2024,Høst
16463,BBLD,Bergen,2023,Høst
16803,MPUV,Bergen,2023,Vår
16911,HMA,Bergen,2023,Høst
16930,HISBN,Sogndal,2022,Høst
17108,EVUFØS,Haugesund,2024,Høst
17367,KFK-PFS,Bergen,2024,Høst
17450,VFHAM,Bergen,2024,Høst
17550,MSFH,Bergen,2021,Høst
17982,VSKS,Bergen,2023,Høst
18044,MDIP,Bergen,2024,Vår
18112,MPUV,Bergen,2022,Vår
18236,MADL,Bergen,2020,Høst
18297,RUTDLEI,Bergen,2024,Høst
18397,PHD,Bergen,2020,Høst
18443,MADL,Bergen,2024,Høst
18525,MDIP,Bergen,2021,Vår
18570,MDIP,Bergen,2024,Vår
18705,RUTDLEI,Sogndal,2023,Høst
18727,PSBU,Haugesund,2024,Høst
18748,KFK-ENU2-N,Bergen,2024,Høst
18783,MA-KSD,Bergen,2022,Høst
18894,YFL3,Bergen,2024,Høst
18933,PHD,Sogndal,2019,Høst
19140,MDIP,Bergen,2021,Vår
19196,HSPED,Stord,2024,Høst
19243,HMA,Bergen,2024,Høst
19319,EVUEFLKI,Bergen,2023,Høst
19323,PSBU,Haugesund,2024,Høst
19457,PHDH,Haugesund,2019,Høst
19482,MADL,Bergen,2022,Høst
19516,VTPHR,Haugesund,2024,Høst
19532,VKKK,Bergen,2024,Høst
19631,ENKELTEMNE,Førde,2024,Høst
19847,BSYKDES,Førde,2021,Høst
20026,MASKA,Førde,2023,Høst
20112,KK-ANDR,Bergen,2024,Høst
20121,MKUF,Bergen,2024,Høst
20140,BSYKDES,Bergen,2021,Høst
20256,MARA,Bergen,2023,Høst
20324,BVPLD,Haugesund,2022,Høst
20413,MARA,Bergen,2021,Høst
20445,VSFO,Stord,2024,Høst
20507,MSFH,Bergen,2024,Høst
20531,MADL,Bergen,2024,Høst
20584,EVUFLKI,Stord,2024,Høst
20620,MADL,Bergen,2022,Høst
20777,MDIP,Bergen,2023,Vår
20877,KFK-MAB1-N,Bergen,2024,Høst
20894,MA-KSB,Bergen,2021,Høst
20960,VFALH,Sogndal,2024,Høst
20968,VTPHR,Haugesund,2024,Høst
21043,MA-KBP4,Bergen,2023,Høst
21144,MA-KSD,Bergen,2024,Høst
21318,O-VBB,Bergen,2024,Høst
21341,MDIP,Bergen,2023,Vår
21582,VTPHR,Bergen,2024,Høst
21659,V-THO,Bergen,2024,Høst
21678,LPL,Haugesund,2024,Høst
21835,V-THO,Bergen,2024,Høst
21867,KK-ANDR,Bergen,2024,Høst
22182,MPUV,Bergen,2024,Vår
22195,BSYKD,Førde,2024,Høst
22213,HSPED,Stord,2022,Høst
22259,MPUV,Bergen,2024,Vår
22287,KFK-NOB1-N,Bergen,2024,Høst
22653,EVUMFLKI,Bergen,2024,Høst
22671,MSFH,Bergen,2024,Høst
22690,MASKS,Bergen,2023,Høst
22867,MARA,Bergen,2024,Høst
23007,MADL,Bergen,2022,Høst
23189,MA-PHA,Bergen,2022,Høst
23205,PHDH,Bergen,2020,Høst
23323,MADL,Bergen,2020,Høst
23365,EVUFØS,Haugesund,2024,Høst
23463,V-UVN,Bergen,2024,Høst
23508,MSFH,Bergen,2022,Høst
23542,EVUFHS,Bergen,2024,Høst
23542,VSFO,Bergen,2024,Høst
23563,EVUFHS,Haugesund,2024,Høst
23677,PHDH,Bergen,2021,Vår
23708,VTPHR,Bergen,2024,Høst
23749,EVUEFLKI,Bergen,2024,Høst
23814,V-NEAK,Bergen,2024,Høst
23935,EVUEFLKI,Bergen,2024,Høst
24155,KFK-ENB1-N,Bergen,2024,Høst
24341,MPUV,Bergen,2024,Vår
24446,RUTDLEI,Sogndal,2023,Høst
24462,VTPHR,Haugesund,2024,Høst
24466,PHDE,Bergen,2024,Høst
24502,MPUV,Bergen,2023,Vår
24559,V-UVNN,Bergen,2024,Høst
24951,HSPED,Stord,2024,Høst
25169,HSPED,Stord,2024,Høst
25169,PHDH,Bergen,2020,Vår
25329,MDIP,Bergen,2022,Vår
25366,MSFH,Bergen,2024,Høst
25401,EVUEFØS,Haugesund,2024,Høst
25626,FFRA,Bergen,2024,Høst
25889,BBLD,Bergen,2021,Høst
25922,VHYD,Bergen,2024,Høst
25973,MA-KSD,Bergen,2024,Høst
25985,KFK-NOU1-N,Bergen,2024,Høst
25985,MARA,Bergen,2024,Høst
26197,MASKS,Bergen,2021,Høst
26314,BSYKD,Stord,2024,Høst
26459,MSFH,Bergen,2021,Høst
26483,HSPED,Stord,2023,Høst
26529,MSFH,Bergen,2023,Høst
26637,BVPLD,Haugesund,2024,Høst
26681,EVUFHS,Haugesund,2024,Høst
26882,HSPED,Stord,2024,Høst
26980,KFK-ENU1-N,Bergen,2024,Høst
27045,MSFH,Haugesund,2024,Høst
27100,MADL,Bergen,2024,Høst
27147,HSPED,Stord,2024,Høst
27155,MPUV,Bergen,2021,Vår
27354,BBLD,Bergen,2021,Høst
27415,MSFH,Haugesund,2024,Høst
27715,HSPED,Stord,2023,Høst
27791,V-NEAK,Bergen,2024,Høst
27977,PPUYRKD,Bergen,2023,Høst
28030,PPUYRKD,Stord,2023,Høst
28069,EVUMFLKI,Stord,2024,Høst
28343,MADL,Bergen,2024,Høst
28346,MKUF,Bergen,2022,Høst
28400,BBLD,Bergen,2024,Høst
28584,BBL,Stord,2023,Høst
28625,VFHAM,Bergen,2024,Høst
28960,BSYKDES,Førde,2021,Høst
29072,KK-SPESB,Sogndal,2024,Høst
29119,MBAKS,Bergen,2024,Høst
29155,MARA,Bergen,2023,Høst
29483,MADL,Bergen,2022,Høst
29576,ØKB,Haugesund,2021,Høst
29937,HSPED,Stord,2024,Høst
30092,FFRA,Bergen,2024,Høst
30177,PSBU,Haugesund,2024,Høst
30291,MDIP,Bergen,2023,Vår
30437,MPR,Bergen,2024,Høst
31898,MA-KBP4,Bergen,2023,Høst
32313,HSPED,Stord,2024,Høst
32664,MPUV,Bergen,2023,Vår
33176,PHDH,Bergen,2021,Vår
33813,MA-KBP4,Bergen,2023,Høst
34630,V-UVN,Bergen,2024,Høst
35567,MASP,Bergen,2024,Høst
36763,PHD,Bergen,2017,Høst
37259,MADL,Bergen,2022,Høst
37445,KFK-SPB2,Bergen,2024,Høst
37482,MADL,Haugesund,2023,Høst
37555,MADL,Bergen,2024,Høst
37804,RUTDLEI,Sogndal,2023,Høst
38147,EVUFHS,Førde,2024,Høst
38273,MASKA,Bergen,2023,Høst
38281,EVUFHS,Førde,2024,Høst
38446,KK-ENGB-1,Bergen,2024,Høst
38451,KFK-NOB1-N,Bergen,2024,Høst
38751,MADL,Førde,2023,Høst
38772,MPUV,Bergen,2022,Vår
38805,KK-SPESB,Sogndal,2024,Høst
38892,KK-SPESB,Sogndal,2024,Høst
39207,BSYKD,Førde,2024,Høst
39552,MAHEL,Bergen,2024,Høst
40107,MDIP,Bergen,2022,Vår
40205,KFK-NOU1-N,Bergen,2024,Høst
40502,PHDE,Bergen,2024,Høst
40575,MA-INND,Bergen,2022,Høst
40591,KFK-MAB1-N,Bergen,2024,Høst
40624,HSPED,Stord,2023,Høst
40624,PHDE,Bergen,2024,Høst
40955,HMA,Bergen,2023,Høst
40958,PPUYRKD,Bergen,2023,Høst
41028,HSPED,Stord,2024,Høst
41090,MADL,Førde,2023,Høst
41244,MSFH,Førde,2023,Høst
41516,MASKA,Førde,2022,Høst
42301,MPUV,Bergen,2024,Vår
42395,HSPED,Stord,2024,Høst
42420,MA-KSO,Førde,2022,Høst
42511,MDIP,Bergen,2022,Vår
43205,MADL,Førde,2023,Høst
43498,MDIP,Bergen,2024,Vår
43633,HSPED,Stord,2021,Høst
44325,VSKS,Bergen,2023,Høst
44335,EVUFLKI,Bergen,2024,Høst
44570,VTPHR,Førde,2024,Høst
