plnr,studieprogram,campus,år,termin
324381,MADL,Bergen,2024,Høst
324407,REALNS,Bergen,2024,Høst
324452,VRA,Bergen,2023,Høst
324524,MSFH,Bergen,2021,Høst
324582,KFK-ENU2-N,Bergen,2024,Høst
324589,MPR,Bergen,2023,Høst
324640,PHDE,Bergen,2024,Høst
324730,MARA,Bergen,2023,Høst
325011,EVUFLKI,Stord,2024,Høst
325423,SÅR,Haugesund,2021,Høst
325519,VFALH,Sogndal,2024,Høst
325720,MA-PHA,Bergen,2022,Høst
325748,PHDH,Bergen,2022,Vår
325758,MPUV,Bergen,2024,Vår
325838,MDIP,Bergen,2024,Vår
326130,MA-FYS,Bergen,2024,Høst
326133,KFK-UTE,Bergen,2024,Høst
326136,BVPLD,Sogndal,2022,Høst
326176,VFHAM,Bergen,2024,Høst
326279,ING-MAB,Haugesund,2022,Høst
326281,MA-KSH,Bergen,2022,Høst
326331,MASP,Haugesund,2024,Høst
326436,HMA,Bergen,2024,Vår
326459,BBL,Bergen,2022,Høst
326482,KFK-NOB1-N,Bergen,2024,Høst
326535,MARA,Bergen,2021,Høst
326578,VSKS,Bergen,2023,Høst
326741,KFK-UTE,Bergen,2024,Høst
326775,MMO,Haugesund,2023,Høst
326893,ØKAD-EMNER,Haugesund,2024,Høst
326897,EVUEFLKI,Bergen,2024,Høst
326910,MSFH,Bergen,2022,Høst
327351,EIE-MA,Bergen,2024,Høst
327500,INF-F,Førde,2024,Høst
327744,MAHEL,Bergen,2023,Høst
327799,DATA,Bergen,2024,Høst
327866,ING-MAB,Haugesund,2024,Høst
327911,BSYK,Haugesund,2022,Høst
327962,KK-ANDR,Bergen,2024,Høst
327992,HMA,Bergen,2024,Høst
328096,PPUALMD,Stord,2023,Høst
328135,ING-MAB,Haugesund,2020,Høst
328274,MASO,Bergen,2022,Høst
328335,MGUBE,Bergen,2019,Høst
328364,MA-KBP4,Bergen,2023,Høst
328389,VFALH,Sogndal,2024,Høst
328503,V-THO,Bergen,2024,Høst
328513,MADL,Bergen,2022,Høst
328595,MPPU,Stord,2023,Høst
328599,PHDH,Bergen,2023,Høst
328658,ØKOB,Sogndal,2023,Høst
328685,KFK-ENB1-N,Bergen,2024,Høst
328827,VSKS,Bergen,2023,Høst
328864,EVUEFØS,Haugesund,2024,Høst
328913,PPUYRKD,Stord,2024,Høst
329000,MAHEL,Bergen,2023,Høst
329034,KFK-UTE,Bergen,2023,Høst
329109,MSFH,Bergen,2024,Høst
329126,MASP,Bergen,2023,Høst
329157,MA-FYS,Bergen,2022,Høst
329201,MPUV,Bergen,2023,Vår
329202,MPUV,Bergen,2022,Vår
329253,EEL,Bergen,2021,Høst
329255,PPUYRKD,Stord,2023,Høst
329295,DATA,Bergen,2024,Høst
329339,ENKELTEMNE,Bergen,2024,Høst
329349,EVUEFØS,Haugesund,2024,Høst
329392,MSFH,Haugesund,2024,Høst
329532,BBLD,Bergen,2022,Høst
329584,BSYKDES,Bergen,2023,Høst
329622,ENKELTEMNE,Haugesund,2024,Høst
329777,BSYK,Haugesund,2022,Høst
329857,KFK-PFS,Bergen,2024,Høst
329873,KK-MAHE1,Bergen,2024,Høst
329965,KK-FMB,Bergen,2024,Høst
330061,MSFH,Bergen,2023,Høst
330091,BVPL,Sogndal,2024,Høst
330171,VRA,Bergen,2024,Høst
330180,REALNS,Førde,2024,Høst
330271,MADL,Bergen,2022,Høst
330282,MASP,Bergen,2024,Høst
330481,V-THO,Bergen,2024,Høst
330544,MDIP,Bergen,2024,Vår
330592,KFK-NOU2-N,Bergen,2024,Høst
330611,MASKA,Stord,2021,Høst
330640,EVUMFLKI,Bergen,2024,Høst
330819,KFK-NOU1-N,Bergen,2024,Høst
331407,DYKLED,Bergen,2024,Høst
331987,HMA,Bergen,2023,Høst
333868,MADL,Bergen,2024,Høst
334327,RUTDLEI,Bergen,2024,Høst
335227,BSAB,Bergen,2024,Høst
335648,MSFH,Haugesund,2024,Høst
335868,KK-SPESB,Sogndal,2024,Høst
335927,INF-H,Haugesund,2023,Høst
336028,PHD,Bergen,2015,Høst
336798,MDIP,Bergen,2023,Vår
337298,ADDISCO,Bergen,2024,Høst
337399,PPUALMD,Stord,2023,Høst
338637,MA-FYS,Bergen,2024,Høst
340057,HMA,Bergen,2024,Vår
341162,MARA,Bergen,2021,Høst
343140,KK-ENGB-1,Bergen,2024,Høst
343518,PPUYRKD,Stord,2024,Høst
343922,ADDISCO,Bergen,2024,Høst
346116,AUTB,Bergen,2023,Høst
346461,MSFH,Bergen,2024,Høst
346758,MADL,Førde,2023,Høst
346838,EVUEFIN,Bergen,2024,Høst
347165,MA-KSH,Bergen,2021,Høst
347280,MAJOR,Bergen,2024,Høst
347282,BSYK,Bergen,2023,Høst
347419,KFK-NOB1-N,Bergen,2024,Høst
347593,MA-INND,Bergen,2022,Høst
347679,DATA,Bergen,2022,Høst
348042,BSYK,Førde,2022,Vår
348101,PHDINN,Bergen,2020,Høst
348278,MAHEL,Bergen,2024,Høst
348820,BSYK,Haugesund,2022,Høst
348867,MASKA,Bergen,2023,Høst
348900,MAJOR,Bergen,2024,Høst
348904,MARA,Bergen,2023,Høst
349067,MASKA,Bergen,2024,Høst
349110,MSFH,Bergen,2021,Høst
349159,MA-KBP4,Bergen,2023,Høst
349196,MA-PHA,Bergen,2022,Høst
349249,EVUEFIN,Bergen,2024,Høst
349681,MDIP,Bergen,2023,Vår
349690,BSYK,Bergen,2024,Høst
349741,MA-KSK,Bergen,2024,Høst
349761,YFL1,Bergen,2024,Høst
349958,V-THO,Bergen,2024,Høst
350136,BYGG,Bergen,2024,Høst
350461,LANA,Sogndal,2024,Høst
350850,MAS-BRANN,Haugesund,2022,Høst
351049,MGUST,Stord,2020,Høst
351075,EVUFLKI,Bergen,2024,Høst
351127,MA-INND,Bergen,2020,Høst
351136,MGBBE,Bergen,2024,Høst
351400,MDIP,Bergen,2023,Vår
351449,ØAU3,Bergen,2020,Høst
351581,BRAD,Bergen,2024,Høst
351748,EIE-MA,Bergen,2024,Høst
351750,MA-JOR,Bergen,2023,Høst
351750,MA-KSH,Bergen,2022,Høst
351839,MGUST,Stord,2021,Høst
351983,MSFH,Bergen,2024,Høst
351983,PPUALMD,Stord,2024,Høst
352015,MA-KBP4,Bergen,2023,Høst
352023,MSFH,Førde,2023,Høst
352088,PPUYRKD,Bergen,2023,Høst
352192,BBLD,Bergen,2023,Høst
352295,BSYK,Førde,2022,Vår
352388,PPUYRKD,Stord,2023,Høst
352388,PSBU,Haugesund,2024,Høst
352390,MAHEL,Bergen,2023,Høst
352399,KFK-NOB1-N,Bergen,2024,Høst
352483,MASP,Bergen,2024,Høst
352528,MSB,Sogndal,2024,Høst
352582,KK-MAHE1,Bergen,2024,Høst
352622,MA-KSI,Bergen,2021,Høst
352622,PPUYRKD,Bergen,2024,Høst
352630,MSFH,Bergen,2024,Høst
352637,KK-SPESB,Sogndal,2024,Høst
352663,MASKS,Bergen,2021,Høst
352726,AUTB,Bergen,2020,Høst
352726,BELE,Bergen,2024,Høst
352755,HISN,Sogndal,2024,Høst
352770,KK-ENGB-1,Bergen,2024,Høst
352785,EVUFHS,Bergen,2024,Høst
352789,HVF,Bergen,2024,Høst
352799,PT,Sogndal,2024,Høst
352829,MASKS,Bergen,2023,Høst
352857,MASKS,Bergen,2023,Høst
352911,MA-INND,Bergen,2023,Høst
352917,DPU-MA,Bergen,2024,Høst
353094,BBLD,Bergen,2021,Høst
353157,MA-KSH,Bergen,2022,Høst
353300,MA-KSH,Bergen,2022,Høst
353351,MA-FYS,Bergen,2024,Høst
353371,PPUYRKD,Stord,2023,Høst
353786,PPUYRKD,Stord,2024,Høst
353920,MARA,Bergen,2022,Høst
354075,MA-FYS,Bergen,2022,Høst
354197,VTPHR,Bergen,2024,Høst
354204,MGBBE,Bergen,2020,Høst
354224,HSPED,Stord,2024,Høst
354306,MASKA,Bergen,2024,Høst
354310,BFYS,Bergen,2024,Høst
354319,BSYKD,Førde,2024,Høst
354380,MSFH,Bergen,2023,Høst
354395,SÅR,Haugesund,2024,Høst
354417,MADL,Førde,2021,Høst
354462,MASKA,Haugesund,2024,Høst
354557,KFK-NOB1-N,Bergen,2024,Høst
354569,MADI,Bergen,2023,Høst
354592,HMA,Bergen,2024,Høst
354645,MIDR,Sogndal,2021,Høst
354830,MA-FYS,Bergen,2024,Høst
354868,PPUYRKD,Sogndal,2024,Høst
354879,PPUYRKD,Stord,2023,Høst
354887,BVPL,Bergen,2023,Høst
354977,MA-KSH,Bergen,2022,Høst
355016,EVUFHS,Bergen,2024,Høst
355016,MSFH,Bergen,2021,Høst
355058,HSPED,Stord,2022,Høst
355080,MKUF,Stord,2024,Høst
355188,KFK-NOB1-N,Bergen,2024,Høst
355236,PSBU,Stord,2023,Høst
355263,MARE,Bergen,2024,Høst
355349,PHD,Bergen,2022,Vår
355425,VTPHR,Bergen,2024,Høst
355496,MGBBE,Bergen,2023,Høst
355523,MADL,Haugesund,2023,Høst
355752,MARA,Bergen,2022,Høst
355816,VTPHR,Førde,2024,Høst
355828,MADL,Bergen,2022,Høst
355903,MASOD,Bergen,2024,Høst
355985,PPUALMD,Stord,2023,Høst
356014,PPUALMD,Stord,2024,Høst
356131,KFK-PFS,Bergen,2024,Høst
356156,VSKS,Bergen,2023,Høst
356166,ØKOB,Sogndal,2023,Høst
356210,MA-KSD,Bergen,2024,Høst
356212,PPUALMD,Stord,2023,Høst
356259,MADL,Bergen,2024,Høst
356265,KFK-SPB2,Bergen,2024,Høst
356387,MADL,Bergen,2024,Høst
356430,V-THO,Bergen,2024,Høst
356433,KK-ANDR,Bergen,2024,Høst
356590,KFK-NOB1-N,Bergen,2024,Høst
356647,MAJOR,Bergen,2024,Høst
356649,VTPHR,Førde,2024,Høst
356679,BSYK,Haugesund,2022,Høst
356712,ENKELTEMNE,Bergen,2024,Høst
356819,PPUYRKD,Bergen,2023,Høst
356841,MIDR,Sogndal,2024,Høst
356856,BBL,Bergen,2024,Høst
356867,MASKS,Bergen,2021,Høst
356870,VTPHR,Førde,2024,Høst
357024,BBL,Bergen,2022,Høst
357119,INF-F,Førde,2022,Høst
357128,MUS60,Stord,2024,Høst
357134,EMASF,Sogndal,2024,Høst
357134,HISBN,Sogndal,2024,Høst
357134,VFHAM,Bergen,2024,Høst
357254,MASP,Bergen,2023,Høst
357267,MPUV,Bergen,2022,Vår
357354,MDIP,Bergen,2024,Vår
357462,PPUYRKD,Bergen,2024,Høst
357507,EVUFLKI,Bergen,2024,Høst
357517,NO17KR,Sogndal,2024,Høst
357535,KFK-ENU1-N,Bergen,2024,Høst
357542,MADL,Bergen,2024,Høst
357563,MASKA,Stord,2021,Høst
357598,V-THO,Bergen,2024,Høst
357877,BBLD,Bergen,2022,Høst
357935,MARA,Bergen,2024,Høst
357992,MADL,Bergen,2024,Høst
357998,MGBBE,Bergen,2021,Høst
358025,MA-KSH,Bergen,2022,Høst
358051,MAJOR,Bergen,2024,Høst
358086,MAHEL,Bergen,2023,Høst
358137,BBL,Bergen,2022,Høst
358158,MASKS,Bergen,2023,Høst
358242,KFK-NOB1-N,Bergen,2024,Høst
358296,MASP,Bergen,2024,Høst
358410,PHDH,Bergen,2024,Vår
358456,KK-ANDR,Bergen,2024,Høst
358474,MAHEL,Bergen,2023,Høst
358491,MASPEL,Stord,2021,Høst
358498,BSYKDES,Haugesund,2021,Høst
358507,BVPLD,Sogndal,2021,Høst
358552,KFK-ENB1-N,Bergen,2024,Høst
358553,KFK-UTE,Bergen,2024,Høst
358628,KFK-NOU1-N,Bergen,2024,Høst
358668,DATA,Bergen,2024,Høst
358746,KK-ANDR,Bergen,2024,Høst
358761,MA-SAA,Bergen,2021,Høst
358771,MAHEL,Bergen,2024,Høst
358775,BELE,Bergen,2024,Høst
358799,BBL,Bergen,2022,Høst
358947,VSKS,Bergen,2023,Høst
358950,VTPHR,Bergen,2024,Høst
359000,MGUST,Stord,2023,Høst
359185,BSAB,Sogndal,2024,Høst
359189,KK-MAHE1,Bergen,2024,Høst
359358,MGBBE,Bergen,2020,Høst
359441,BYGG,Bergen,2020,Høst
359446,PPUALMD,Stord,2024,Høst
359496,BSYK,Bergen,2024,Høst
359565,ETK,Bergen,2021,Høst
359568,PPUYRKD,Bergen,2024,Høst
359642,MA-PHA,Bergen,2022,Høst
359737,VTPHR,Haugesund,2024,Høst
359744,KFK-UTE,Bergen,2024,Høst
359757,MAPHER,Bergen,2024,Høst
359806,PSHR,Haugesund,2022,Høst
359808,VRA,Bergen,2023,Høst
359814,EVUEFØS,Haugesund,2024,Høst
359854,VJURI,Bergen,2023,Vår
359875,KFK-ENU2-N,Bergen,2024,Høst
359878,ØAU3,Bergen,2022,Høst
359937,MA-KSO,Bergen,2022,Høst
359954,PHDH,Bergen,2022,Vår
360018,MGBBE,Bergen,2024,Høst
360086,MPUV,Bergen,2023,Vår
360130,ETK,Bergen,2022,Høst
360156,MKUF,Stord,2024,Høst
360184,MA-FYS,Bergen,2024,Høst
360263,MASKS,Bergen,2021,Høst
360277,KFK-NOU2-N,Bergen,2024,Høst
360300,VSKS,Bergen,2023,Høst
360305,BVPLD,Haugesund,2023,Høst
360424,ENKELTEMNE,Bergen,2024,Høst
360776,MASP,Førde,2024,Høst
360778,KFB-LUB,Bergen,2024,Høst
361079,PHD,Bergen,2017,Vår
361908,PHD,Bergen,2021,Høst
362519,BSYK,Bergen,2022,Høst
363040,EVUEFLKI,Bergen,2024,Høst
363060,MDIP,Bergen,2023,Vår
363098,MPUV,Bergen,2024,Vår
363798,MADL,Bergen,2022,Høst
364138,EIE-MA,Bergen,2022,Høst
364678,KFK-UTE,Bergen,2024,Høst
364720,KFK-ENB1-N,Bergen,2024,Høst
365598,KK-ANDR,Bergen,2024,Høst
365940,MARA,Bergen,2023,Høst
366101,ADDISCO,Bergen,2024,Høst
377545,V-THO,Bergen,2024,Høst
377671,MASP,Bergen,2023,Høst
377937,MADI,Bergen,2023,Høst
378300,ENKELTEMNE,Haugesund,2024,Høst
378583,BERG,Bergen,2024,Høst
378980,MAS-BR-DEL,Haugesund,2021,Høst
379545,KFK-MAB1-N,Bergen,2024,Høst
380113,HSPED,Stord,2024,Høst
381458,RUTDLEI,Bergen,2024,Høst
381883,MASP,Haugesund,2024,Høst
381910,PPUYRKD,Bergen,2023,Høst
382416,ETK-MA,Bergen,2018,Høst
382644,VSKS,Bergen,2023,Høst
382747,MDIP,Bergen,2022,Vår
383130,BSYK,Bergen,2023,Høst
383467,ØKB,Haugesund,2023,Høst
383558,MADL,Bergen,2020,Høst
384184,SOSN,Sogndal,2024,Høst
384597,PHD,Stord,2018,Høst
384895,MSFH,Bergen,2024,Høst
384970,MADL,Bergen,2022,Høst
385036,KK-ANDR,Bergen,2024,Høst
385146,YFL3,Bergen,2024,Høst
385450,MSFH,Bergen,2021,Høst
385609,MGUST,Stord,2022,Høst
385650,V-THO,Bergen,2024,Høst
385765,ENKELTEMNE,Bergen,2024,Høst
385766,PHDCS,Bergen,2021,Vår
385847,MDIP,Bergen,2022,Vår
385932,MAHEL,Bergen,2024,Høst
386374,EMNE,Bergen,2024,Høst
386551,FORNS,Haugesund,2024,Høst
386902,MA-FYS,Bergen,2024,Høst
387048,VSKS,Bergen,2023,Høst
387072,PHDINN,Bergen,2020,Høst
387337,BBLD,Sogndal,2024,Høst
387355,BYGG,Bergen,2020,Høst
387578,MASOD,Bergen,2024,Høst
387918,LPL,Haugesund,2024,Høst
388604,VSKS,Bergen,2023,Høst
388713,RUTDLEI,Sogndal,2023,Høst
388746,BBLD,Sogndal,2023,Høst
388951,BBL,Bergen,2022,Høst
389358,MPUV,Bergen,2024,Vår
390070,DATA,Bergen,2020,Høst
390080,PPUALMD,Stord,2023,Høst
390541,MGUBE,Bergen,2022,Høst
391170,MADL,Bergen,2022,Høst
391197,MADL,Bergen,2020,Høst
391277,BBLD,Bergen,2023,Høst
391576,MACCM,Sogndal,2023,Høst
391774,BSYKDES,Bergen,2021,Høst
391799,KFK-NOU1-N,Bergen,2024,Høst
391808,KJE,Bergen,2021,Høst
391895,BBL,Stord,2024,Høst
391911,MADL,Bergen,2022,Høst
391934,LEIE,Bergen,2024,Høst
392158,EVUFLKI,Bergen,2024,Høst
402307,REALNS,Bergen,2024,Høst
402321,ADDISCO,Bergen,2024,Høst
402376,MA-KSK,Bergen,2024,Høst
402385,MASP,Bergen,2024,Høst
402407,BBL,Stord,2022,Høst
402413,BSYK,Haugesund,2024,Høst
402499,MA-FYS,Bergen,2024,Høst
402523,MA-JOR,Bergen,2023,Høst
402569,MA-KSI,Bergen,2022,Høst
402596,MADL,Haugesund,2023,Høst
402754,MASP,Bergen,2023,Høst
402765,KFK-NOU1-N,Bergen,2024,Høst
402893,ETK,Bergen,2024,Høst
402930,KK-SSB,Bergen,2024,Høst
402939,MASP,Bergen,2023,Høst
402957,ADLE,Haugesund,2023,Høst
402958,VSKS,Bergen,2023,Høst
402971,MSFH,Haugesund,2024,Høst
402973,MSFH,Bergen,2020,Høst
403006,EVUMFLKI,Bergen,2024,Høst
403027,MA-KSH,Bergen,2022,Høst
403028,MAM,Bergen,2022,Høst
403028,MMT,Bergen,2024,Høst
403086,MARA,Bergen,2023,Høst
403113,PHDH,Bergen,2021,Vår
403177,MASKA,Bergen,2023,Høst
403197,MA-FYS,Bergen,2024,Høst
403241,VRA,Bergen,2024,Høst
403371,MADL,Bergen,2022,Høst
403380,KFK-ENU1-N,Bergen,2024,Høst
403534,BBLD,Bergen,2023,Høst
403567,PHDH,Bergen,2022,Vår
403599,VTPHR,Førde,2024,Høst
403640,MA-JOR,Bergen,2023,Høst
403656,MASKS,Bergen,2023,Høst
403777,BSYKD,Stord,2024,Høst
403838,V-THO,Bergen,2024,Høst
403890,MKUF,Bergen,2024,Høst
403898,BBL,Bergen,2024,Høst
403934,KFK-MAB1-N,Bergen,2024,Høst
404116,BIO,Bergen,2022,Høst
404124,ØKB,Haugesund,2024,Høst
404148,MGBNS,Stord,2022,Høst
404246,BSOSN,Sogndal,2024,Høst
404278,MA-KSK,Bergen,2022,Høst
404396,MASKA,Haugesund,2024,Høst
404408,V-THO,Bergen,2024,Høst
404431,KFK-NOB1-N,Bergen,2024,Høst
404433,MASP,Bergen,2024,Høst
404470,MSFH,Haugesund,2022,Høst
404517,KFK-UTE,Bergen,2024,Høst
404560,VRA,Bergen,2023,Høst
404615,TST,Bergen,2022,Høst
404686,PPUYRKD,Bergen,2024,Høst
404714,DPU-MA,Bergen,2024,Høst
404754,MA-KSI,Bergen,2020,Høst
404820,BBL,Bergen,2022,Høst
404841,MAM,Bergen,2024,Høst
404909,MA-INND,Bergen,2022,Høst
404956,MPUV,Bergen,2023,Vår
405037,MGUST,Stord,2024,Høst
405040,LANA,Sogndal,2023,Høst
405071,MA-JOR,Bergen,2023,Høst
405230,VSKS,Bergen,2023,Høst
405240,AUTYH,Haugesund,2019,Høst
405324,MPUV,Bergen,2022,Vår
405420,INF,Bergen,2022,Høst
405456,MSFH,Bergen,2024,Høst
405489,ABLU,Haugesund,2023,Høst
405537,MARA,Bergen,2022,Høst
405580,BIO,Bergen,2024,Høst
405583,BSYKD,Stord,2024,Høst
405649,MADL,Bergen,2022,Høst
405674,MAJOR,Bergen,2024,Høst
405680,MASP,Haugesund,2024,Høst
405738,MASP,Bergen,2024,Høst
405753,MARA,Bergen,2021,Høst
405826,MPPU,Stord,2023,Høst
405845,VFHAM,Bergen,2024,Høst
405883,BSYK,Stord,2022,Høst
405914,MAHEL,Bergen,2024,Høst
405923,FHA,Bergen,2023,Høst
406032,MA-FYS,Bergen,2024,Høst
406044,MASP,Bergen,2023,Høst
406143,INF,Bergen,2023,Høst
406143,MGUBE,Bergen,2020,Høst
406153,MA-KSK,Bergen,2024,Høst
406191,BBL,Bergen,2022,Høst
406229,PPUALMD,Stord,2023,Høst
406258,BSYK,Bergen,2024,Høst
406301,MASKA,Haugesund,2024,Høst
406342,BBL,Bergen,2021,Høst
406384,BSYK,Bergen,2022,Høst
406410,KFK-MAB1-N,Bergen,2024,Høst
406544,EVUEFLKI,Bergen,2024,Høst
406594,MGBBE,Bergen,2022,Høst
406607,MA-KSK,Bergen,2024,Høst
406615,MGBBE,Bergen,2020,Høst
406643,MMT,Bergen,2022,Høst
406673,MSFH,Bergen,2022,Høst
406714,MSFH,Bergen,2021,Høst
406762,EVUFHS,Bergen,2024,Høst
406791,KFK-MAU1-N,Bergen,2024,Høst
406834,MADL,Førde,2021,Høst
406850,MASOD,Bergen,2024,Høst
407028,MA-KSO,Bergen,2021,Høst
407031,MASO,Bergen,2023,Høst
407065,INF,Bergen,2024,Høst
407087,BBLD,Bergen,2022,Høst
407189,MASP,Bergen,2024,Høst
407202,MPR,Bergen,2023,Høst
407245,BFYS,Bergen,2023,Høst
407252,MA-FYS,Bergen,2022,Høst
407256,MPUV,Bergen,2023,Vår
407441,VRA,Bergen,2024,Høst
407552,VTPHR,Førde,2024,Høst
407640,MASP,Førde,2024,Høst
407670,BVPLD,Sogndal,2022,Høst
407726,PHD,Bergen,2021,Høst
407807,MASP,Førde,2023,Høst
407856,MASP,Bergen,2023,Høst
407908,EVUFHS,Førde,2024,Høst
407974,MASP,Bergen,2023,Høst
408211,VTPHR,Førde,2024,Høst
408329,MASP,Bergen,2023,Høst
408373,PHD,Bergen,2023,Høst
408436,EVUFHS,Bergen,2024,Høst
408462,MA-KSH,Bergen,2022,Høst
408693,VSKS,Bergen,2021,Høst
408840,ABLU,Sogndal,2024,Høst
408950,V-THO,Bergen,2024,Høst
409005,EVUEFLKI,Bergen,2024,Høst
409146,MASKA,Bergen,2024,Høst
409252,MASKA,Bergen,2024,Høst
409356,MA-KSD,Bergen,2024,Høst
409479,MPUV,Bergen,2021,Vår
409480,MADL,Bergen,2022,Høst
409593,ØAU3,Bergen,2022,Høst
409750,MADL,Bergen,2024,Høst
409931,MASKA,Haugesund,2024,Høst
409968,ING-MAB,Haugesund,2022,Høst
410014,ØKB,Haugesund,2024,Høst
410168,VRA,Bergen,2024,Høst
410308,ØKBD,Haugesund,2019,Høst
410351,MMO,Haugesund,2021,Høst
410388,ABLU,Haugesund,2023,Høst
410607,MA-PHA,Bergen,2023,Høst
410763,MPUV,Bergen,2024,Vår
410876,BELEH,Haugesund,2024,Høst
411202,DATA,Bergen,2022,Høst
411310,MPUV,Bergen,2024,Vår
412255,RDL,Bergen,2024,Høst
414699,MGUBE,Bergen,2018,Høst
414832,MA-KSO,Bergen,2022,Høst
415082,MMT,Bergen,2022,Høst
415122,KFK-NOB1-N,Bergen,2024,Høst
415236,BERG,Bergen,2022,Høst
415431,MASP,Førde,2023,Høst
415530,VRA,Bergen,2024,Høst
415580,MGBBE,Bergen,2022,Høst
415623,MSB,Haugesund,2022,Høst
415625,MASKA,Bergen,2024,Høst
415659,DATA,Bergen,2024,Høst
415687,MSFH,Førde,2023,Høst
416039,PHDE,Bergen,2023,Høst
416089,MAPHER,Bergen,2024,Høst
416277,BBLD,Bergen,2022,Høst
416307,MADL,Bergen,2022,Høst
416386,MASP,Bergen,2023,Høst
416432,PSBU,Stord,2023,Høst
416457,BBL,Bergen,2022,Høst
416549,BSAB,Sogndal,2023,Høst
416554,MASKS,Bergen,2023,Høst
416584,LEIE,Bergen,2024,Høst
416633,INF-F,Førde,2022,Høst
416644,GLU1-7P,Bergen,2023,Høst
416758,KFK-SPB2,Bergen,2024,Høst
416794,PSBU,Stord,2023,Høst
416821,MA-PHA,Bergen,2022,Høst
416919,HSPED,Stord,2024,Høst
416932,ENKELTEMNE,Bergen,2024,Høst
416973,BBARN,Sogndal,2023,Høst
416986,KFK-GLSM,Bergen,2024,Høst
417098,MASP,Bergen,2024,Høst
417219,DATA,Bergen,2024,Høst
417219,MADD,Førde,2023,Høst
417267,PPUYRKD,Bergen,2023,Høst
417283,BBL,Bergen,2022,Høst
417290,BELE,Bergen,2024,Høst
417434,ØAU3,Bergen,2024,Høst
417451,MADL,Bergen,2022,Høst
417504,MGBBE,Bergen,2019,Høst
417547,SÅR,Haugesund,2024,Høst
417580,ENKELTEMNE,Bergen,2024,Høst
417598,DATA,Bergen,2024,Høst
417598,MGBBE,Bergen,2024,Høst
417619,KFK-ENB1-N,Bergen,2024,Høst
417701,MA-KSH,Bergen,2021,Høst
417867,DATA,Bergen,2024,Høst
417898,MGBBE,Bergen,2021,Høst
417950,MASP,Bergen,2023,Høst
417956,ØKB,Haugesund,2024,Høst
417983,ADLE,Haugesund,2023,Høst
418000,KFK-ENB1-N,Bergen,2024,Høst
418051,ØAU3,Bergen,2024,Høst
418056,BSYKDES,Bergen,2023,Høst
418071,MPUV,Bergen,2023,Vår
418099,VTPHR,Bergen,2024,Høst
418106,VSKS,Bergen,2023,Høst
418138,MSB,Bergen,2022,Høst
418152,EVUFHS,Bergen,2024,Høst
418171,BBLD,Sogndal,2023,Høst
418234,INF-F,Førde,2022,Høst
418298,PHD,Bergen,2021,Høst
418359,HMA,Bergen,2024,Vår
418360,MASKA,Bergen,2023,Høst
418395,MSFH,Bergen,2022,Høst
418474,MGBBE,Bergen,2019,Høst
418479,PPUALMD,Stord,2023,Høst
418781,FFRA,Bergen,2024,Høst
418851,SÅR,Haugesund,2024,Høst
418901,HISBN,Sogndal,2022,Høst
418901,MPPU,Stord,2024,Høst
418985,MADL,Bergen,2022,Høst
419068,BELE,Bergen,2024,Høst
419094,KFK-ENB2-N,Bergen,2024,Høst
419108,MAHEL,Bergen,2023,Høst
419124,MSFH,Bergen,2022,Høst
419196,INF,Bergen,2024,Høst
419270,PHDCS,Bergen,2021,Vår
419299,MGBNS,Stord,2022,Høst
419405,HSPED,Stord,2024,Høst
419688,MAS-BRANN,Haugesund,2021,Høst
419737,HVT,Bergen,2022,Høst
419774,MASP,Bergen,2023,Høst
419805,SÅR,Haugesund,2024,Høst
419884,KFB-LUB,Bergen,2024,Høst
419927,MA-KSH,Bergen,2022,Høst
420033,KK-SPESB,Sogndal,2024,Høst
420094,DATA,Bergen,2024,Høst
420101,PHDCS,Bergen,2021,Vår
420134,KK-ENGB-1,Bergen,2024,Høst
420319,VTPHR,Førde,2024,Høst
420590,MA-KSI,Bergen,2021,Høst
420590,MASP,Bergen,2024,Høst
420714,O-VBB,Bergen,2024,Høst
420717,MPUV,Bergen,2024,Vår
420849,MPUV,Bergen,2024,Vår
420970,HISN,Sogndal,2024,Høst
421128,HISN,Sogndal,2024,Høst
421336,VTPHR,Førde,2024,Høst
421350,MADL,Førde,2021,Høst
421603,MIDR,Sogndal,2022,Høst
421793,MA-KBP4,Bergen,2023,Høst
421848,MASKA,Førde,2024,Høst
421917,MSFH,Førde,2023,Høst
422145,KFK-NOU1-N,Bergen,2024,Høst
422221,MASP,Bergen,2024,Høst
422247,BSOSN,Sogndal,2024,Høst
422435,PHD,Sogndal,2021,Høst
430750,KFK-NOU1-N,Bergen,2024,Høst
431343,ING-MAB,Haugesund,2021,Høst
431354,MA-KSH,Bergen,2022,Høst
431645,MMO,Haugesund,2021,Høst
431825,MDIP,Bergen,2023,Vår
432333,EMNE,Bergen,2024,Høst
432676,FORNS,Førde,2024,Høst
432702,ØKB,Haugesund,2022,Høst
432973,PSBU,Haugesund,2024,Høst
433028,ENKELTEMNE,Bergen,2024,Høst
433305,MDIP,Bergen,2023,Vår
434481,ETK,Bergen,2023,Høst
434659,MMO,Haugesund,2024,Høst
434923,LEIE,Bergen,2024,Høst
435413,MASP,Bergen,2023,Høst
435513,HSPED,Stord,2022,Høst
436004,KFK-ENU1-N,Bergen,2024,Høst
436102,BSYK,Haugesund,2024,Høst
436188,BBL,Bergen,2024,Høst
436590,PHD,Bergen,2020,Høst
436732,ADDISCO,Bergen,2024,Høst
437549,HSPED,Stord,2024,Høst
